from,to,type
Q99070343,Q99070370,spouse
Q99070408,Q99070448,spouse
Q75961229,Q75961232,spouse
Q105803226,Q75961235,spouse
Q110290233,Q99069788,spouse
Q99069919,Q99070028,spouse
Q99803734,Q99803746,spouse
Q99156505,Q99156522,spouse
Q52435837,Q76003679,spouse
Q99803833,Q99803842,spouse
Q51862142,Q75248170,spouse
Q2581065,Q61962932,spouse
Q99803993,Q99803996,spouse
Q76241017,Q76241018,spouse
Q99804077,Q99804088,spouse
Q75670351,Q75972843,spouse
Q99804140,Q99804145,spouse
Q99804195,Q99804204,spouse
Q99804234,Q99804242,spouse
Q99804264,Q99804266,spouse
Q99804277,Q99804286,spouse
Q99804342,Q99804352,spouse
Q99804387,Q99804389,spouse
Q99804405,Q99804414,spouse
Q76277933,Q76277944,spouse
Q18534239,Q76277934,spouse
Q61971044,Q61971749,spouse
Q75933583,Q75933584,spouse
Q110290288,Q99070430,spouse
Q7321853,Q96244009,spouse
Q110290322,Q110290323,spouse
Q110290325,Q110290326,spouse
Q56176617,Q96244028,spouse
Q99082540,Q99082569,spouse
Q110290454,Q110290455,spouse
Q110290366,Q110290367,spouse
Q110290457,Q110290458,spouse
Q106703059,Q106703060,spouse
Q101163257,Q101163261,spouse
Q96244042,Q96244048,spouse
Q99070257,Q99075659,spouse
Q99070276,Q99070287,spouse
Q99070350,Q99070363,spouse
Q99070379,Q99070389,spouse
Q99070430,Q99070439,spouse
Q75961225,Q75961227,spouse
Q105803219,Q75961231,spouse
Q56178921,Q76273222,spouse
Q105803227,Q105803228,spouse
Q99069795,Q99069827,spouse
Q99069929,Q99069983,spouse
Q18821787,Q99070099,spouse
Q99156509,Q99156514,spouse
Q75972661,Q75972664,spouse
Q99806217,Q99806218,spouse
Q18530899,Q75248132,spouse
Q18527485,Q61962936,spouse
Q61962943,Q61962945,spouse
Q99806990,Q99807093,spouse
Q99807109,Q99807139,spouse
Q75972653,Q75972655,spouse
Q99805126,Q99805138,spouse
Q99155815,Q99155835,spouse
Q99805153,Q99805195,spouse
Q99805244,Q99805254,spouse
Q18671789,Q76277936,spouse
Q76277935,Q99805689,spouse
Q61971723,Q61971756,spouse
Q16204119,Q99188261,spouse
Q3012329,Q99806052,spouse
Q75933586,Q99806111,spouse
Q96311985,Q99072675,spouse
Q99072508,Q99072526,spouse
Q22815213,Q6827220,spouse
Q110635501,Q110635502,spouse
Q110290421,Q110636422,spouse
Q99072218,Q99072277,spouse
Q116147492,Q116147493,spouse
Q116147503,Q116147509,spouse
Q96244025,Q96244027,spouse
Q99071353,Q99071403,spouse
Q110388722,Q99082549,spouse
Q99082590,Q99082619,spouse
Q110636772,Q110636774,spouse
Q110582468,Q110582483,spouse
Q110441658,Q99075772,spouse
Q110635503,Q75241114,spouse
Q110290793,Q96311985,spouse
Q110290796,Q110290797,spouse
Q75958839,Q99199155,spouse
Q105872162,Q105872165,spouse
Q105872168,Q76331439,spouse
Q96244045,Q96244047,spouse
Q110441213,Q110441214,spouse
Q75961221,Q99075659,spouse
Q75247597,Q99075723,spouse
Q76048560,Q76215134,spouse
Q99072487,Q99072581,spouse
Q110067842,Q99072588,spouse
Q110067846,Q99072626,spouse
Q99073219,Q99073259,spouse
Q75961221,Q75961224,spouse
Q110290493,Q75961226,spouse
Q110290494,Q110290495,spouse
Q110290483,Q110290485,spouse
Q76273183,Q76273217,spouse
Q75958835,Q76273220,spouse
Q110290503,Q110290504,spouse
Q99069806,Q99069817,spouse
Q99069833,Q99069845,spouse
Q75558048,Q99069940,spouse
Q99069999,Q99070014,spouse
Q76214368,Q76214369,spouse
Q75616810,Q75616811,spouse
Q104038170,Q16845627,spouse
Q75241252,Q99082590,spouse
